Fecha,Categoria,Region,Ventas,Unidades
2024-01-01,Electrónica,Europa,12500,45
2024-01-01,Hogar,Europa,8900,38
2024-01-01,Deportes,Europa,6200,22
2024-02-01,Electrónica,Europa,14100,52
2024-02-01,Hogar,Europa,9100,40
2024-02-01,Deportes,Europa,7000,26
2024-01-01,Electrónica,América,10200,38
2024-01-01,Hogar,América,7600,33
2024-01-01,Deportes,América,5200,19
2024-02-01,Electrónica,América,11800,44
2024-02-01,Hogar,América,8300,35
2024-02-01,Deportes,América,6800,25
2024-01-01,Electrónica,Asia,9700,36
2024-01-01,Hogar,Asia,6800,28
2024-01-01,Deportes,Asia,4900,18
2024-02-01,Electrónica,Asia,11000,40
2024-02-01,Hogar,Asia,7100,30
2024-02-01,Deportes,Asia,6400,23
